Suggested,Sugjeruar
SVG Original Color,Ngjyra origjinale SVG
Disable this option to change color of svg elements in layer,Çaktivizo këtë opsion për të ndryshuar ngjyrën e elementeve svg në shtresë
SVG Color,Ngjyra SVG
The color of the currently selected SVG Layer,Ngjyra e shtresës SVG të zgjedhur aktualisht
Stroke/Border Color,Stroke/Ngjyra e kufirit
The border/stroke color of the currently selected SVG Layer,Ngjyra e kufirit/goditjes së shtresës SVG të zgjedhur aktualisht
Stroke/Border Width/Size,Goditja/Gjerësia e kufirit/Madhësia
The border/stroke width/size of the currently selected SVG Layer,Gjerësia/madhësia e kufirit/goditjes së shtresës SVG të zgjedhur aktualisht
Dash-Array,Dash-Array
The <a href='https://developer.mozilla.org/en-US/docs/Web/SVG/Attribute/stroke-dasharray' target='_blank'>dash-array</a> for the currently selected SVG. Displays the SVG stroke/border as dashes.,<a href='https://developer.mozilla.org/en-US/docs/Web/SVG/Attribute/stroke-dasharray' target='_blank'>Vargu dash</a> për SVG-në e zgjedhur aktualisht. Shfaq goditjen/kufinë SVG si viza.
Dash-Array Offset,Dash-Array Offset
The <a href='https://developer.mozilla.org/en-US/docs/Web/SVG/Attribute/stroke-dashoffset' target='_blank'>stroke-dash-offset</a> for the currently selected SVG,Kompensimi i <a href='https://developer.mozilla.org/en-US/docs/Web/SVG/Attribute/stroke-dashoffset' target='_blank'>goditjes-dash-</a> për SVG-në e zgjedhur aktualisht
SVG Style All Elements,Të gjithë elementët e stilit SVG
"By default only SVG path gets custom style, Enabling this option will style all svg elements like ellipse, polygon etc","Si parazgjedhje, vetëm shtegu SVG merr stil të personalizuar, aktivizimi i këtij opsioni do të stilojë të gjithë elementët svg si elips, poligon etj."
Set a background color for the Layer,Vendosni një ngjyrë të sfondit për shtresën
Background Image,Imazhi i sfondit
Set a background image for the Layer,Vendosni një imazh të sfondit për shtresën
BG Image Position,Pozicioni i imazhit BG
The CSS background-position for the Layer's background image,Pozicioni i sfondit CSS për imazhin e sfondit të shtresës
BG Image Fit,Përshtatja e imazhit BG
The css background-size value for the Layer's background image,Vlera e madhësisë së sfondit css për imazhin e sfondit të shtresës
BG Image Repeat,Përsëritja e imazhit BG
The css background-repeat value for the Layer's background image,Vlera e përsëritjes së sfondit css për imazhin e sfondit të shtresës
The top margin for the currently Selected Layer. Useful for rows/columns.,Marzhi i sipërm për shtresën e përzgjedhur aktualisht. I dobishëm për rreshta/kolona.
Margin Right,Diferenca e djathtë
The right margin for the currently Selected Layer. Useful for rows/columns.,Marzhi i duhur për shtresën e përzgjedhur aktualisht. I dobishëm për rreshta/kolona.
The bottom margin for the currently Selected Layer. Useful for rows/columns.,Marzhi i poshtëm për shtresën e përzgjedhur aktualisht. I dobishëm për rreshta/kolona.
Margin Left,Marzhi majtas
The left margin for the currently Selected Layer. Useful for rows/columns.,Margjina e majtë për shtresën e përzgjedhur aktualisht. I dobishëm për rreshta/kolona.
The top padding for the currently Selected Layer,Mbushja e sipërme për shtresën e përzgjedhur aktualisht
Padding Right,Mbushje djathtas
The right padding for the currently Selected Layer,Mbushja e duhur për shtresën e zgjedhur aktualisht
The bottom padding for the currently Selected Layer,Mbushja e poshtme për shtresën e zgjedhur aktualisht
Padding Left,Mbushje majtas
The left padding for the currently Selected Layer,Mbushja e majtë për shtresën e zgjedhur aktualisht
Border Color,Ngjyra e kufirit
Add a border to the Layer's HTML element,Shtoni një kufi në elementin HTML të shtresës
Border Style,Stili i kufirit
The <a href='https://www.w3schools.com/cssref/pr_border-style.asp' target='_blank'>CSS border-style</a> to use for the Layer's border,Stili i <a href='https://www.w3schools.com/cssref/pr_border-style.asp' target='_blank'>kufirit CSS</a> për t&#39;u përdorur për kufirin e shtresës
Border Top Size,Madhësia e sipërme e kufirit
The border's top size (border-top-width),Madhësia kryesore e kufirit (gjerësia e kufirit-lart)
Border Right Size,Madhësia e duhur e kufirit
The border's right size (border-right-width),Madhësia e duhur e kufirit (kufiri-djathtas-gjerësia)
Border Bottom Size,Madhësia e poshtme e kufirit
The border's bottom size (border-bottom-width),Madhësia e poshtme e kufirit (kufi-gjerësia e poshtme)
Border Left Size,Madhësia e majta e kufirit
The border's left size (border-left-width),Madhësia e majtë e kufirit (kufiri-majtas-gjerësia)
Border Radius Top Left,Rrezja kufitare lart majtas
The top-left corner border-radius (px or %),Rrezja e kufirit të këndit të sipërm majtas (px ose %)
Border Radius Top Right,Rrezja kufitare lart djathtas
The top-right corner border-radius (px or %),Rrezja e kufirit të këndit të sipërm djathtas (px ose %)
Border Radius Bottom Left,Rrezja kufitare poshtë majtas
The bottom-left corner border-radius (px or %),Rrezja e kufirit të këndit të poshtëm majtas (px ose %)
Border Radius Bottom Right,Rrezja kufitare poshtë djathtas
The bottom-right corner border-radius (px or %),Rrezja e kufirit të këndit të poshtëm djathtas (px ose %)
Align the Layer horizontally to the Slider content or the entire Slider,Lidhni shtresën horizontalisht me përmbajtjen e rrëshqitësit ose të gjithë rrëshqitësin
Align the Layer vertically to the Slider content or the entire Slider,Lidhni shtresën vertikalisht me përmbajtjen e rrëshqitësit ose të gjithë rrëshqitësin
Offset the Layer's horizontal position by this amount. Accepts positive and negative values.,Kompensoni pozicionin horizontal të shtresës me këtë shumë. Pranon vlera pozitive dhe negative.
Offset the Layer's vertical position by this amount. Accepts positive and negative values.,Kompensoni pozicionin vertikal të shtresës me këtë shumë. Pranon vlera pozitive dhe negative.
Layer Width,Gjerësia e shtresës
The Layer's width for the current device viewport,Gjerësia e shtresës për pamjen aktuale të pajisjes
Layer Height,Lartësia e shtresës
The Layer's height for the current device viewport,Lartësia e shtresës për pamjen aktuale të pajisjes
Size Presets,Paracaktimet e madhësisë
"Choose to set the Layer's width/height as full-width, full-height. 'Stretch' will be 100%width/height, 'Cover' will maintain aspect ratio.","Zgjidhni për të vendosur gjerësinë/lartësinë e shtresës si gjerësi të plotë, lartësi të plotë. ""Stretch"" do të jetë 100%gjerësi/lartësi, ""Cover"" do të ruajë raportin e pamjes."
The Layer's <a href='https://www.w3schools.com/cssref/pr_dim_min-width.asp' target='_blank'>CSS min-width</a> for the current device viewport,<a href='https://www.w3schools.com/cssref/pr_dim_min-width.asp' target='_blank'>Gjerësia minimale CSS</a> e shtresës për pamjen aktuale të pajisjes
Maximum Width,Gjerësia maksimale
The Layer's <a href='https://www.w3schools.com/cssref/pr_dim_max-width.asp' target='_blank'>CSS max-width</a> for the current device viewport,<a href='https://www.w3schools.com/cssref/pr_dim_max-width.asp' target='_blank'>Gjerësia maksimale</a> e CSS e shtresës për pamjen aktuale të pajisjes
Minimum Height,Lartësia minimale
The Layer's <a href='https://www.w3schools.com/cssref/pr_dim_min-height.asp' target='_blank'>CSS min-height</a> for the current device viewport,<a href='https://www.w3schools.com/cssref/pr_dim_min-height.asp' target='_blank'>Min-lartësia CSS</a> e shtresës për pamjen aktuale të pajisjes
Maximum Height,Lartësia maksimale
The Layer's <a href='https://www.w3schools.com/cssref/pr_dim_max-height.asp' target='_blank'>CSS max-height</a> for the current device viewport,<a href='https://www.w3schools.com/cssref/pr_dim_max-height.asp' target='_blank'>Lartësia maksimale</a> e CSS e shtresës për pamjen aktuale të pajisjes
Inherit from Desktop,Trashëgoni nga Desktop
Automatically resize/reposition all Layers for each device viewport inside the editor,Ndrysho madhësinë/ripozicionimin automatik të të gjitha shtresave për çdo port pamjeje të pajisjes brenda redaktuesit
Reset from Desktop,Rivendos nga desktopi
Reset the size/position of all Layers to their desktop values for each viewport inside the editor,Rivendosni madhësinë/pozicionin e të gjitha shtresave në vlerat e tyre të desktopit për çdo pamje brenda redaktuesit
Resize Between Devices,Ndryshimi i madhësisë ndërmjet pajisjeve
Rotation X,Rrotullimi X
Add a <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/transform-function/rotateX' target='_blank'>rotateX</a> transform to the currently selected Layer,Shtoni një <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/transform-function/rotateX' target='_blank'>transformim rotateX</a> në shtresën e zgjedhur aktualisht
Rotation Y,Rrotullimi Y
Add a <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/transform-function/rotateY' target='_blank'>rotateY</a> transform to the currently selected Layer,Shtoni një <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/transform-function/rotateY' target='_blank'>transformim rotateY</a> në shtresën e zgjedhur aktualisht
Rotation Z,Rrotullimi Z
Add a <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/transform-function/rotateZ' target='_blank'>rotateZ</a> transform to the currently selected Layer,Shtoni një <a href='https://developer.mozilla.org/en-US/docs/Web/CSS/transform-function/rotateZ' target='_blank'>transformim rotateZ</a> në shtresën e zgjedhur aktualisht
Opacity,Opaciteti
Adjust the opacity/transparency for the currently selected Layer,Rregulloni opacitetin/transparencën për shtresën e zgjedhur aktualisht
Enable Box Shadow,Aktivizo Box Shadow
Add a <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>CSS box-shadow</a> to the currently selected Layer,Shtoni një <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>hije të kutisë CSS në shtresën</a> e zgjedhur aktualisht
Apply Shadow to,Aplikoni Shadow në
"'Wrapper Container' is the Layer's outer-most HTML wrapper div, and 'Layer Container' is the content's main div",'Wrapper Container' është div më i jashtëm i HTML i mbështjellësit të Layer dhe 'Layer Container' është div kryesor i përmbajtjes
The horizontal offset for the <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>box-shadow</a>,Kompensimi horizontal për <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>hijen e kutisë</a>
The vertical offset for the <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>box-shadow</a>,Kompensimi vertikal për <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>hijen e kutisë</a>
Blur Radius,Rrezja e turbullimit
The blur-radius value for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>box-shadow</a>,Vlera e rrezes së turbullimit për <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>hijen e kutisë së shtresës</a>
Spread,Përhapet
The spread value for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>box-shadow</a>,Vlera e përhapjes për <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>hijen e kutisë së shtresës</a>
Shadow Color,Ngjyra e hijes
The rgba color for the Layer's <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>box-shadow</a>,Ngjyra rgba për <a href='https://www.w3schools.com/cssref/css3_pr_box-shadow.asp' target='_blank'>hijen e kutisë së shtresës</a>
Enable Text Shadow,Aktivizo hijen e tekstit
Add a <a href='https://www.w3schools.com/CSSref/css3_pr_text-shadow.asp' target='_blank'>CSS text-shadow</a> to the currently selected Layer,Shtoni një <a href='https://www.w3schools.com/CSSref/css3_pr_text-shadow.asp' target='_blank'>hije teksti CSS në shtresën</a> e zgjedhur aktualisht
The horizontal offset for the <a href='https://www.w3schools.com/CSSref/css3_pr_text-shadow.asp' target='_blank'>text-shadow</a>,Kompensimi horizontal për <a href='https://www.w3schools.com/CSSref/css3_pr_text-shadow.asp' target='_blank'>hijen e tekstit</a>
The vertical offset for the <a href='https://www.w3schools.com/CSSref/css3_pr_text-shadow.asp' target='_blank'>text-shadow</a>,Kompensimi vertikal për <a href='https://www.w3schools.com/CSSref/css3_pr_text-shadow.asp' target='_blank'>hijen e tekstit</a>
